ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
MS03060S001,34.26642709,-88.42367339,FULTON LOCK AND DAM - RING DIKE,1483,dam_study,True,False,True,False,False,True,20.270937,Very Low (5),20190530
WI00780,44.85593096,-92.23968034,EAU GALLE DAM,5456,dam_study,True,True,True,True,False,True,20.601321,Low (4),20090512
TN15901,36.29032507,-85.94362774,CORDELL HULL LOCK AND DAM,257,dam_study,True,False,True,True,True,True,20.743585,Moderate (3),20160804
OH00003,40.55769965,-81.41253666,DOVER DAM,239,dam_study,True,False,True,True,True,True,20.892751,Low (4),20160505
OR00015,44.12788372,-122.2410845,COUGAR DAM,172,dam_study,True,False,True,True,True,True,20.91412,High (2),20190919
AL01427,33.45840141,-87.35635756,JOHN HOLLIS BANKHEAD LOCKS AND DAM,1146,dam_study,True,False,True,False,False,True,21.165534,Moderate (3),20160308
MA00970,42.64301651,-72.22367825,TULLY DAM,7107,dam_study,True,True,True,True,False,True,21.429563,Low (4),20090602
IN03001,39.00820671,-86.51133105,MONROE DAM,1030,dam_study,True,False,True,True,True,True,22.249443,Very Low (5),20180514
PA00105,41.83931931,-79.00299055,KINZUA DAM,295,dam_study,True,False,True,True,True,True,22.541273,High (2),20201112
NM00003,35.3941615,-106.5466189,JEMEZ CANYON DAM,277,dam_study,True,False,True,True,True,True,22.614338,Low (4),20170616
NH00007,42.99778047,-72.3092611,SURRY MOUNTAIN DAM,5246,dam_study,True,True,True,True,True,True,23.221542,Moderate (3),20190425
KS00027,37.84264228,-96.81845602,EL DORADO DAM,1065,dam_study,True,False,True,True,True,True,23.586822,Low (4),20160323
OR00006,43.92119299,-122.8081892,DEXTER DAM,129,dam_study,True,False,True,True,True,True,23.617048,Low (4),20150615
CT00501,41.69501637,-73.0623066,THOMASTON DAM,5180,dam_study,True,True,True,True,False,True,23.638116,High (2),20200504
PA00110,41.47543491,-79.44538287,TIONESTA DAM,5146,dam_study,True,True,True,True,False,True,23.660121,Very Low (5),20191011
MA00968,42.2650919,-72.88172606,LITTLEVILLE DAM,723,dam_study,True,False,True,True,True,True,24.507099,Moderate (3),20141029
ND00309,47.03467792,-98.07885544,BALDHILL DAM,954,dam_study,True,False,True,True,True,True,24.826256,Low (4),20140731
OR00004,44.72173131,-122.2500998,DETROIT DAM,139,dam_study,True,False,True,True,True,True,24.973533,Moderate (3),20180514
GA00821,34.613331,-84.670295,CARTERS MAIN DAM,945,dam_study,True,False,True,True,True,True,25.373896,Low (4),20141105
WV06702,38.22235664,-80.89067204,SUMMERSVILLE DAM,4062,dam_study,True,False,True,True,True,True,26.167385,Moderate (3),20181126
OR00010,44.45006265,-122.5488478,GREEN PETER DAM,142,dam_study,True,False,True,True,True,True,26.457901,Low (4),20200722
OH00004,40.65662777,-81.42927859,BOLIVAR DAM,206,dam_study,True,False,True,True,False,True,26.462694,Very Low (5),20180205
MA00964,42.118328,-71.908333,BUFFUMVILLE DAM,1117,dam_study,True,False,True,True,True,True,27.00857,Low (4),20160804
OR00007,43.946671,-122.7567,FALL CREEK DAM,1443,dam_study,True,False,True,True,True,True,27.348036,High (2),20130815
PA00102,40.71529559,-79.51018869,CROOKED CREEK DAM,1542,dam_study,True,False,True,True,True,True,28.435179,Low (4),20170712
IL00113,38.618825,-89.352293,CARLYLE DAM,976,dam_study,True,False,True,True,True,True,28.67604,Very Low (5),20200722
OR00013,44.17332974,-122.3283096,BLUE RIVER DAM,1485,dam_study,True,False,True,True,True,True,29.210012,High (2),20130815
MN00586,47.42906918,-94.05188214,WINNIBIGOSHISH DAM,4292,dam_study,True,False,True,True,True,True,30.50406,Low (4),20100330
IL00118,39.40912461,-88.78038027,SHELBYVILLE DAM,209,dam_study,True,False,True,True,True,True,31.16658,Low (4),20150603
OH00015,40.35888375,-83.06899939,DELAWARE DAM,325,dam_study,True,False,True,True,True,True,31.357144,Moderate (3),20190330
MS03604,34.46281241,-88.36625266,G.V. MONTGOMERY LOCK AND DAM,2814,dam_study,True,False,True,False,False,True,31.637024,Low (4),20181126
MO12084,39.39602186,-94.55616325,SMITHVILLE DAM,4288,dam_study,True,False,True,True,True,True,31.828578,Low (4),20200312
TX00008,33.06931527,-96.96453947,LEWISVILLE DAM,68,dam_study,True,False,True,False,False,True,32.285101,High (2),20141029
KS00002,37.2772,-95.78786,ELK CITY DAM,1125,dam_study,True,False,True,True,True,True,32.728232,Low (4),20161227
MA00963,42.63095422,-72.12327215,BIRCH HILL DAM,1082,dam_study,True,False,True,True,True,True,33.677703,Low (4),20180205
OK10313,35.94808176,-96.29593538,HEYBURN DAM,1066,dam_study,True,False,True,True,True,True,34.809985,Low (4),20170712
TX00004,29.86917308,-98.19762158,CANYON LAKE DAM,5157,dam_study,True,True,True,True,False,True,34.901959,High (2),20200504
KY03007,37.24571455,-85.33981988,GREEN RIVER DAM,207,dam_study,True,False,True,True,True,True,35.06282,Low (4),20170614
IN03006,40.84600796,-85.46868178,J. EDWARD ROUSH DAM,5163,dam_study,True,True,True,True,False,True,35.191121,Moderate (3),20200304
ND00146,46.96174814,-98.75250043,PIPESTEM DAM,769,dam_study,True,False,True,True,True,True,35.212174,High (2),20190425
OK22178,35.645,-97.361671,ARCADIA DAM,961,dam_study,True,False,True,True,True,True,35.30666,Low (4),20150402
MA00972,42.08223855,-72.05818359,WESTVILLE DAM,5886,dam_study,True,True,True,True,False,True,36.349799,Low (4),20210623
KY03012,37.61975093,-86.50090675,ROUGH RIVER DAM,223,dam_study,True,False,True,True,True,True,37.058912,High (2),20230216
OK10308,35.30449621,-95.36025232,EUFAULA DAM,1040,dam_study,True,False,True,True,True,True,37.32652,Low (4),20180205
OK22203,34.23572106,-98.05367357,WAURIKA DAM,6366,dam_study,True,True,True,True,False,True,37.820305,Low (4),20220523
